No.,Ticker,IPO Date
1,SCPQU,12/23/2025
2,SVAQU,12/23/2025
3,IGAC,12/22/2025
4,BEBE-U,12/19/2025
5,ADACU,12/18/2025
6,FJET,12/18/2025
7,LPCVU,12/18/2025
8,VHCPU,12/18/2025
9,ANDG,12/17/2025
10,BIXI,12/17/2025
11,CCXIU,12/17/2025
12,IRHOU,12/17/2025
13,MDLN,12/17/2025
14,CRANU,12/16/2025
15,VSNTV,12/16/2025
16,CMCSV,12/15/2025
17,HAVA,12/15/2025
18,MMTX,12/15/2025
19,ITHAU,12/12/2025
20,TWLVU,12/12/2025
21,WLTH,12/12/2025
22,BLRKU,12/11/2025
23,KBONU,12/11/2025
24,LMRI,12/11/2025
25,CDNL,12/10/2025
26,JMG,12/10/2025
27,MESHU,12/10/2025
28,CRAC,12/9/2025
29,DSACU,12/9/2025
30,MICC,12/8/2025
31,TDWD,12/8/2025
32,LFACU,12/5/2025
33,AEAQU,12/4/2025
34,HYNE,12/4/2025
35,NWAX-U,12/4/2025
36,RGNT,12/4/2025
37,SAC-U,12/4/2025
38,SMJF,12/4/2025
39,DMII,12/3/2025
40,EVOX,12/3/2025
41,GPACU,12/3/2025
42,PARK,12/3/2025
43,PURR,12/3/2025
44,SBXE-U,12/3/2025
45,LAFA,11/26/2025
46,SCIIU,11/26/2025
47,IGACU,11/25/2025
48,AIIA,11/24/2025
49,RNGT,11/24/2025
50,APAC,11/21/2025
51,HCACU,11/21/2025
52,KRSP,11/21/2025
53,BCSS,11/20/2025
54,CBC,11/20/2025
55,VACI,11/20/2025
56,ALIS,11/19/2025
57,DNMX,11/19/2025
58,GLOO,11/19/2025
59,DYOR,11/18/2025
60,APXT,11/17/2025
61,FCRS,11/17/2025
62,WSHP,11/14/2025
63,ALUB-U,11/13/2025
64,CABR,11/13/2025
65,OTH,11/13/2025
66,POAS,11/13/2025
67,BPACU,11/12/2025
68,CHEC,11/11/2025
69,LATA,11/10/2025
70,AERO,11/6/2025
71,BLLN,11/6/2025
72,EVMN,11/6/2025
73,LKSP,11/6/2025
74,SUNC,11/6/2025
75,ELWT,11/5/2025
76,MEHA,11/5/2025
77,XZO,11/5/2025
78,BETA,11/4/2025
79,CEPV,11/4/2025
80,WSTNU,11/4/2025
81,OTGA,11/3/2025
82,Q,11/3/2025
83,BGSI,10/31/2025
84,BLZR,10/31/2025
85,NOMA,10/31/2025
86,NAVN,10/30/2025
87,YCY,10/29/2025
88,GIW,10/27/2025
89,MPLT,10/27/2025
90,AGCC,10/22/2025
91,EMIS,10/22/2025
92,NPT,10/22/2025
93,AHMA,10/21/2025
94,BGIN,10/21/2025
95,GSRF,10/20/2025
96,SOLS,10/20/2025
97,ACCL,10/17/2025
98,MBVI,10/17/2025
99,BDCI,10/16/2025
100,OWLS,10/16/2025
101,SEV,10/16/2025
102,SLGB,10/15/2025
103,TCGL,10/15/2025
104,RPGL,10/14/2025
105,NKLR,10/10/2025
106,ALH,10/9/2025
107,LFS,10/9/2025
108,PXED,10/9/2025
109,YDDL,10/9/2025
110,POM,10/8/2025
111,TLNC,10/8/2025
112,TTRX,10/8/2025
113,CCHH,10/3/2025
114,CBK,10/2/2025
115,HVMC,10/2/2025
116,MKLY,10/2/2025
117,SSEA,10/2/2025
118,AGRZ,10/1/2025
119,FRMI,10/1/2025
120,NP,10/1/2025
121,YCY-U,10/1/2025
122,QUMS,9/30/2025
123,SVAC,9/30/2025
124,KNRX,9/29/2025
125,AEXA,9/26/2025
126,MGN,9/26/2025
127,HCMA,9/22/2025
128,BRBI,9/19/2025
129,KOYN,9/19/2025
130,PTRN,9/19/2025
131,NTSK,9/18/2025
132,STUB,9/17/2025
133,WBI,9/17/2025
134,CHOW,9/16/2025
135,MLCI,9/15/2025
136,BRCB,9/12/2025
137,FOFO,9/12/2025
138,GEMI,9/12/2025
139,LGN,9/12/2025
140,ONCH,9/12/2025
141,VIA,9/12/2025
142,FIGR,9/11/2025
143,LBRX,9/11/2025
144,KLAR,9/10/2025
145,PAII,9/10/2025
146,ORIQ,9/9/2025
147,SPEG,9/9/2025
148,ZGM,9/9/2025
149,SOCA,9/5/2025
150,FCHL,9/4/2025
151,NMP,9/3/2025
152,ELVR,9/2/2025
153,PMI,8/29/2025
154,ELOG,8/28/2025
155,TGHL,8/28/2025
156,THH,8/28/2025
157,APAD,8/27/2025
158,CURX,8/26/2025
159,CCII,8/22/2025
160,EVAC,8/22/2025
161,VNME,8/22/2025
162,CEPF,8/21/2025
163,ETS,8/21/2025
164,BCAR,8/20/2025
165,YMT,8/19/2025
166,FIGX,8/18/2025
167,LWAC,8/15/2025
168,OBA,8/15/2025
169,PACH,8/15/2025
170,BUUU,8/14/2025
171,MIAX,8/14/2025
172,RYOJ,8/14/2025
173,BLSH,8/13/2025
174,NSRX,8/13/2025
175,DKI,8/8/2025
176,HTFL,8/8/2025
177,BSAA,8/7/2025
178,CFND,8/7/2025
179,FLY,8/7/2025
180,WYFI,8/7/2025
181,CTW,8/6/2025
182,BACC,8/4/2025
183,RUBI,8/4/2025
184,AVBC,8/1/2025
185,AXIN,8/1/2025
186,BLUW,7/31/2025
187,FIG,7/31/2025
188,SI,7/31/2025
189,AMBQ,7/30/2025
190,INAC,7/30/2025
191,YMAT,7/30/2025
192,GTERA,7/25/2025
193,MCGA,7/25/2025
194,STRC,7/25/2025
195,ARX,7/24/2025
196,LHAI,7/24/2025
197,MH,7/24/2025
198,CARL,7/23/2025
199,CRE,7/23/2025
200,TDIC,7/23/2025
201,JENA,7/21/2025
